,,,,
,,,,
,,,,
,,,,
numBastidor,matricula,marca,modelo,anioMatriculacion
5UXFA93545L150362,7193CKK,Jeep,Wrangler,1999
19UUA56942A675141,6944CBL,Maybach,57,2009
1N6AF0KY3FN372155,8153JDL,Mercedes-Benz,C-Class,2012
3D4PG9FV4AT336551,5062HGJ,Chevrolet,Avalanche,2010
1N6AA0ECXEN419887,5313HCC,Honda,Civic Si,2006
4T1BD1FK2DU556946,8263DJJ,Plymouth,Laser,1991
1D4RE4GG6BC153795,0987BFB,Infiniti,G,1996
3C3CFFFH8CT232918,7520FJG,Nissan,Versa,2010
WBAYF8C54ED908472,5172DLD,Volvo,S40,2001
KMHTC6AD7DU396365,2765NKB,GMC,Yukon XL 1500,2008
3N1CE2CP4EL218037,4628CHJ,Audi,RS 6,2003
4JGBB9FB5BA945518,0872KNL,Toyota,FJ Cruiser,2011
WAUDV94F18N876738,8334CCK,GMC,Yukon,2006
3D73Y4CL9AG544325,8902JLD,Infiniti,G35,2008
1GD312CG1CF017031,9691BNB,Bentley,Azure,2010
4T1BK1EB2FU571750,6391GNC,Chrysler,Grand Voyager,2000
TRUDD38J291232102,2021HNL,Jaguar,XJ Series,2001
3D4PG1FG8BT240023,5906KLG,Mitsubishi,Montero,1996
TRUWC28N221327693,3655BFN,Ford,GT,2005
WAUJFAFH3AN512441,9911JNJ,Cadillac,Catera,2001
JM1GJ1T64E1561420,1261BJC,Chevrolet,Impala,2012
1GKS1AE06DR855277,2214DDG,Hyundai,Santa Fe,2001
WBAGL83535D249157,6545HGJ,Nissan,Quest,2000
JA4AS2AW1AZ567046,2493NCF,Mitsubishi,GTO,1991
1FTSX2A58AE532446,2207DLM,Audi,S8,2006
1FTEX1CM8BK836732,1903GLC,Cadillac,XLR-V,2006
5N1AA0NC3AN665852,2772HML,Toyota,Avalon,2002
WAULH54B11N969290,8267HDD,Audi,5000CS Quattro,1986
1FTMF1CW5AF305902,7275FJJ,Infiniti,G35,2003
2C3CDXBGXEH291019,6564JBJ,Jaguar,XK,2007
JHMZF1D65ES231674,5332FGC,Oldsmobile,Cutlass Supreme,1994
JTDKTUD35ED189143,6350KCG,Mercedes-Benz,S-Class,1991
YV4952CZ9E1219102,7807DKC,Chevrolet,Malibu,2012
4T1BD1FK1FU604715,7082DNH,Toyota,Tacoma Xtra,2004
WVGFF9BPXBD343865,7811LJM,Toyota,Land Cruiser,2006
WAUUL78E25A825621,8110DBD,Chevrolet,Blazer,1992
1D4PT7GX3BW805141,4413FMF,Plymouth,Neon,1998
5BZAF0AA7FN401437,4585CDN,BMW,X5 M,2012
1FTWW3CY8AE049170,2596LHK,Lotus,Exige,2010
1GYUKEEJ5AR930008,7393HCB,Lincoln,Continental Mark VII,1992
1N4CL2AP5BC156215,0847MND,Acura,RSX,2003
WVGAV7AX5BW622518,7364FJK,Jaguar,S-Type,2008
1N6AD0CW3FN502549,0534BHF,Mercury,Grand Marquis,1995
WBAWV5C55AP455514,8977CJH,Mazda,Familia,1986
WBAPK5C55BA440724,7010FBD,Mazda,MPV,2000
19UUA56993A052101,8525BLB,Volvo,S60,2002
1N6AD0CU1FN857282,5500HDH,Geo,Prizm,1993
WAU4FAFR3BA680076,2269LFF,Maserati,Spyder,1991
4A4AP3AU9DE981806,3866KKF,Mercedes-Benz,S-Class,2008
WAUBGAFB9BN469254,9296NFK,GMC,Yukon,2004
2G4WE587881970801,2822NBM,Pontiac,Trans Sport,1993
5N1AA0NE3FN607443,2933HHK,Land Rover,Range Rover Sport,2008
JM1NC2JF3E0287370,1626CFH,Cadillac,Escalade EXT,2006
WAUSF78E88A834097,1667NGC,Mitsubishi,Endeavor,2004
1GD422CG0EF346159,4205NGD,Buick,LaCrosse,2006
1C3CCBHG5CN818417,8913CJG,Volkswagen,GTI,2004
WBAVB73508V167454,1980KFD,Hummer,H2,2008
3D73Y4CL7AG761033,7121CKJ,Lincoln,Continental,1994
WA1LFBFP5DA915948,4208CHJ,Isuzu,Rodeo,1995
5UXZV4C51D0400614,5305HCM,Chevrolet,Classic,2005
5N1AR1NB6BC265657,3787MNM,Land Rover,LR3,2007
WAUHGBFC1DN240403,0344KFM,Lexus,LX,2008
5N1AR2MM5FC113917,3272CGN,Ford,F350,2012
1G6DZ67A590017708,3029BNG,Buick,Regal,1994
1N6AA0CH9EN329791,4626DDC,GMC,Sierra 2500,2006
WAUCVAFRXBA246705,2465FNM,Dodge,Aspen,1976
1G6AT5SX8E0144134,5435MJG,Ford,Expedition,1997
1G6DA1E33D0449348,2470KDB,Isuzu,Ascender,2008
1N6AF0LY0FN739592,6115GGG,Jeep,Liberty,2006
WAUDG74F59N731038,7057CJN,Dodge,Ram 1500,1994
2T2BK1BA2CC048507,0659MMB,Cadillac,Brougham,1992
JN8AF5MR3FT069320,7160KBJ,Hyundai,Tiburon,2000
JM1BL1K5XB1306568,5846KBF,Porsche,Cayman,2008
NM0KS9BN1CT904391,5843HDG,Kia,Rio,2012
1G6KD57Y19U870676,7540NMD,Jeep,Wrangler,2012
1FTEX1CM3DF340653,6687DJJ,Mitsubishi,Truck,1988
WP0AA2A92ES295074,5616LLB,Plymouth,Fury,1964
WDDUG7JB5FA539423,6446FNC,Ford,Mustang,2000
WAUDF58E05A919444,2712JDH,Ford,E150,1984
2HNYD28598H138446,9076DNK,Mitsubishi,Galant,1995
1G6DC8E33E0852914,2324DLJ,Porsche,928,1993
YV1902MD7F1744272,5932FDN,Land Rover,Range Rover,1999
JM3ER2W30A0243454,6967HLM,Eagle,Vision,1993
1GKKRNED9DJ242278,9220HHC,Volkswagen,Eurovan,1995
WBAEV33414P344101,2278LLM,Lotus,Esprit,2004
WDDGF4HB2DG135381,7309CDM,Plymouth,Grand Voyager,2000
SCBDC47L38C879023,8104HGK,Nissan,350Z,2003
1GYEC63N56R456937,6866FHK,Subaru,Forester,2010
4T3BA3BB8FU115505,0627BMB,Ford,Taurus,2002
JM1CR2W36A0778207,9394JDM,Mercedes-Benz,SL-Class,1985
1G6EC12932B032871,2650DNK,Ford,F150,2009
3C6JR6CT1DG087290,5433LCD,Chrysler,300,2010
1FTKR1AD7AP910627,2235DJC,GMC,Savana 2500,2006
WAUGL78E08A559002,3841CCH,Honda,Civic,1989
NM0KS7AN7AT474384,7236BDD,Toyota,T100,1995
5XYKT3A1XDG439098,8281BKL,Buick,Reatta,1990
JN1AZ4EH4BM871367,0271CCJ,Land Rover,Range Rover,2008
1G4HP54KX5U608983,3170MJH,Mercury,Tracer,1995
137ZA83341E968151,5932HDM,Dodge,Ram Van 1500,1996
WAUJC58E25A808583,9548LDB,Acura,TSX,2006
WA1CMAFE5BD849458,4063MKK,Acura,TSX,2004
2D4RN7DG5BR880486,2199LFJ,Honda,CR-V,1998
WBAYB6C51ED461597,4284NDK,Lexus,IS,2001
1FTEX1C81AF999782,9673GGM,Chevrolet,Corvette,2012
1C3CDWEA4CD616470,1482GHH,Subaru,Impreza,2009
2HNYD28788H293426,5579MJN,Kia,Sorento,2004
TRUWX28N021349275,5030MMG,Chevrolet,Silverado 1500,2011
WBAKP9C56FD285995,5995MDD,Honda,Accord,1991
WAULC58E55A069430,8889NDG,Dodge,Caravan,2010
5TDBK3EHXDS619887,5034GKG,Plymouth,Prowler,2000
3GYEK62897G344027,2666GKK,Nissan,Altima,2000
SAJWA1EK7EM060835,2084CCB,Chevrolet,Express 3500,2006
2G4GL5EX2F9131370,9274HJG,Lincoln,Navigator,2009
SALFR2BGXEH645178,5579DDL,Saab,9-3,2002
WBANA53585B672226,2161HHN,Suzuki,Samurai,1994
1G6DS5E36D0874423,8040HCJ,Ford,Tempo,1987
1D7RB1CP2AS976163,4438GCH,Nissan,Leaf,2012
1FTEW1CMXBK932722,7259MLB,Toyota,Camry,1994
JH4KC1F9XFC673928,8186FMM,Mitsubishi,Pajero,1994
1G6DP8E35C0293903,8025KNH,Toyota,RAV4,2011
WAUKH78E97A374764,7186GNG,Audi,A8,2009
WBAKE3C59CE852080,8393BNH,Buick,LeSabre,1989
3VWPG3AG0AM095114,6621DMM,Mercury,Grand Marquis,1985
WAUXU54B02N515899,5939CCN,GMC,Savana 1500,1999
WBALM7C50EE001500,2484HNN,Smart,Fortwo,2009
3C4PDDEG6CT738280,8810HHF,Audi,S8,2002
WBAYP9C5XED837491,1345GCF,Ford,Econoline E150,1995
WAUGL78E25A653961,7519JDH,Dodge,Ram Van 1500,2003
KMHGH4JH7DU123078,2960FCH,Chevrolet,Blazer,1999
5LMJJ2H57BE921076,4296CMD,Mercury,Topaz,1984
1GKS1AE06CR502519,9306KGJ,Fillmore,Fillmore,1960
WBA6A0C54ED182295,7473DCC,Volvo,C70,2006
5N1AT2MK2FC774398,1440FGH,Volkswagen,Cabriolet,1987
SCBBR9ZA0CC875910,2283MNJ,Chevrolet,Prizm,2001
4T3BA3BB3DU767137,7974FBM,Cadillac,Eldorado,2001
5UXKR2C56E0002438,7367LCM,Ford,Expedition,2009
WAUWFAFR0BA115826,6129HFB,Honda,Passport,1995
1G6DG8E58D0433154,3293LKL,Acura,NSX,2004
1C3CDFBB2FD290122,9798JMH,Volkswagen,Type 2,1988
WA1CGAFP2FA421749,9725LMD,Lexus,ES,2008
5N1AR2MM9FC611229,5197LCC,Honda,Element,2005
3VWKP7AJXCM277743,5034LMK,Dodge,Ram 1500,2010
JTJHY7AXXE4369719,4545LKJ,Ford,Freestyle,2007
WAUEH54B21N744353,4099KML,Hyundai,Tiburon,1998
2C4RDGDG8DR926394,8475KJM,Mazda,RX-7,1991
1G6DG8E58D0462931,5591NJL,Ford,E350,2010
1D7RE2BK7BS024697,1415FHK,Mitsubishi,Outlander,2003
WBA5A5C53ED857322,4452HBN,Oldsmobile,Aurora,1996
1N6AF0KY7EN360122,3694JDG,Mitsubishi,Montero,1994
1G6YV36A195590038,7539KLN,GMC,Sierra 3500,2011
SALAG2V61EA914714,5000LJD,Infiniti,EX,2012
1G6DF577480410301,5795FBG,Dodge,Ram Van 2500,1998
